order_id,year,month,quarter,is_weekend_order,platform,country,customer_segment,customer_age_group,customer_gender,acquisition_channel,device_used,product_category,unit_price_usd,quantity_ordered,order_value_usd,discount_pct,discount_amount_usd,final_amount_usd,shipping_cost_usd,tax_amount_usd,total_paid_usd,payment_method,shipping_method,delivery_days,product_rating,review_submitted,returned,return_reason,customer_satisfaction,session_duration_minutes,pages_viewed,cart_abandoned_before,wishlist_used,coupon_used,subscription_member,repeat_purchase_count,loyalty_points
ORD0000001,2022,4,Q2,Yes,AliExpress,Germany,New Customer,35-44,Male,Influencer,Mobile,Home & Kitchen,269.67,2,539.34,20,107.87,431.47,2.23,22.69,456.39,Debit Card,Standard,9,5,No,No,None,Dissatisfied,78.7,2,Yes,No,No,No,0,0
ORD0000002,2023,6,Q2,Yes,Flipkart,Australia,Loyal Customer,35-44,Male,Direct,Mobile,Beauty & Personal Care,150,1,150,25,37.5,112.5,14.35,22.17,149.02,PayPal,Express,3,4,No,No,None,Neutral,18.2,7,No,Yes,No,No,9,198
ORD0000003,2022,2,Q1,Yes,Amazon,Turkey,VIP Customer,45-54,Male,Organic Search,Mobile,Electronics,2000,3,6000,15,900,5100,0,683.94,5783.94,Cash on Delivery,Free Shipping,7,4,Yes,No,None,Very Dissatisfied,5.1,1,No,No,No,Yes,30,1020
ORD0000004,2022,7,Q3,No,AliExpress,USA,New Customer,35-44,Male,Paid Ads,Desktop,Health & Wellness,214.85,1,214.85,5,10.74,204.11,0,17.83,221.94,Bank Transfer,Free Shipping,7,4,Yes,No,None,Satisfied,22,6,Yes,No,No,Yes,0,0
ORD0000005,2024,4,Q2,No,Daraz,Australia,Loyal Customer,35-44,Female,Social Media,Mobile,Automotive,400.47,1,400.47,30,120.14,280.33,15.33,49.05,344.71,Cash on Delivery,Express,3,5,No,No,None,Satisfied,4.5,8,Yes,No,Yes,No,13,598
ORD0000006,2022,4,Q2,No,Amazon,Nigeria,Returning Customer,25-34,Female,Social Media,Mobile,Beauty & Personal Care,150,2,300,5,15,285,36.44,41.83,363.27,PayPal,Same Day,1,4,Yes,No,None,Dissatisfied,4.2,7,No,No,No,Yes,2,66
ORD0000007,2021,11,Q4,No,Amazon,France,New Customer,35-44,Female,Email Campaign,Desktop,Toys & Games,45.22,5,226.1,0,0,226.1,0,20.85,246.95,Credit Card,Free Shipping,3,4,Yes,No,None,Very Satisfied,9.8,4,No,No,Yes,No,0,0
ORD0000008,2024,10,Q4,Yes,eBay,India,New Customer,55-64,Male,Paid Ads,Mobile,Home & Kitchen,274.58,3,823.74,15,123.56,700.18,0,114.43,814.61,Debit Card,Free Shipping,6,5,No,No,None,Satisfied,12.8,6,Yes,No,No,No,0,0
ORD0000009,2023,10,Q4,No,eBay,Australia,New Customer,25-34,Female,Paid Ads,Desktop,Home & Kitchen,266.78,1,266.78,15,40.02,226.76,7.09,40.81,274.66,Debit Card,Standard,8,4,No,No,None,Satisfied,41.7,8,Yes,Yes,Yes,Yes,0,0
ORD0000010,2023,1,Q1,Yes,WooCommerce,Canada,New Customer,18-24,Male,Organic Search,Mobile,Jewelry & Accessories,477.87,1,477.87,0,0,477.87,10.17,51.72,539.76,Bank Transfer,Express,3,5,No,No,None,Satisfied,36.4,7,Yes,No,Yes,No,0,0
